timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-03-01T00:28:59.187128+07:00,Cần Thơ,66,/dl/web/weather/ic-weather-04n.svg,6.0 km/h,86%
2026-03-01T01:44:12.449950+07:00,Cần Thơ,62,/dl/web/weather/ic-weather-04n.svg,8.0 km/h,90%
2026-03-01T02:28:32.711350+07:00,Cần Thơ,64,/dl/web/weather/ic-weather-01n.svg,6.0 km/h,90%
2026-03-01T03:35:37.952496+07:00,Cần Thơ,59,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,92%
2026-03-01T04:30:14.185980+07:00,Cần Thơ,71,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,93%
2026-03-01T05:32:03.205718+07:00,Cần Thơ,63,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,94%
2026-03-01T06:31:29.506355+07:00,Cần Thơ,69,/dl/web/weather/ic-weather-01n.svg,8.0 km/h,94%
2026-03-01T09:57:51.602123+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-01d.svg,9.0 km/h,69%
2026-03-01T12:02:05.455959+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-02d.svg,8.0 km/h,55%
2026-03-01T13:02:24.706199+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-03d.svg,9.0 km/h,51%
