timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-03-01T00:28:59.187128+07:00,Cần Thơ,66,/dl/web/weather/ic-weather-04n.svg,6.0 km/h,86%
2026-03-01T01:44:12.449950+07:00,Cần Thơ,62,/dl/web/weather/ic-weather-04n.svg,8.0 km/h,90%
2026-03-01T02:28:32.711350+07:00,Cần Thơ,64,/dl/web/weather/ic-weather-01n.svg,6.0 km/h,90%
2026-03-01T03:35:37.952496+07:00,Cần Thơ,59,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,92%
2026-03-01T04:30:14.185980+07:00,Cần Thơ,71,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,93%
2026-03-01T05:32:03.205718+07:00,Cần Thơ,63,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,94%
2026-03-01T06:31:29.506355+07:00,Cần Thơ,69,/dl/web/weather/ic-weather-01n.svg,8.0 km/h,94%
2026-03-01T09:57:51.602123+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-01d.svg,9.0 km/h,69%
2026-03-01T12:02:05.455959+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-02d.svg,8.0 km/h,55%
2026-03-01T13:02:24.706199+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-03d.svg,9.0 km/h,51%
2026-03-01T14:02:53.327650+07:00,Cần Thơ,59,/dl/web/weather/ic-weather-10d.svg,8.0 km/h,48%
2026-03-01T15:41:38.559786+07:00,Cần Thơ,62,/dl/web/weather/ic-weather-10d.svg,12.0 km/h,60%
2026-03-01T16:39:11.740423+07:00,Cần Thơ,61,/dl/web/weather/ic-weather-04d.svg,10.0 km/h,64%
2026-03-01T17:34:52.702433+07:00,Cần Thơ,62,/dl/web/weather/ic-weather-04d.svg,8.0 km/h,65%
2026-03-01T18:29:27.509180+07:00,Cần Thơ,65,/dl/web/weather/ic-weather-04d.svg,9.0 km/h,69%
2026-03-01T20:05:25.305051+07:00,Cần Thơ,82,/dl/web/weather/ic-weather-04n.svg,10.0 km/h,73%
2026-03-01T21:33:22.328812+07:00,Cần Thơ,64,/dl/web/weather/ic-weather-02n.svg,11.0 km/h,82%
2026-03-01T22:32:36.838728+07:00,Cần Thơ,60,/dl/web/weather/ic-weather-01n.svg,9.0 km/h,85%
2026-03-01T23:39:35.632517+07:00,Cần Thơ,57,/dl/web/weather/ic-weather-01n.svg,8.0 km/h,86%
2026-03-02T01:45:33.337786+07:00,Cần Thơ,56,/dl/web/weather/ic-weather-01n.svg,8.0 km/h,88%
2026-03-02T02:31:03.870987+07:00,Cần Thơ,58,/dl/web/weather/ic-weather-03n.svg,8.0 km/h,89%
2026-03-02T03:37:27.355088+07:00,Cần Thơ,65,/dl/web/weather/ic-weather-03n.svg,8.0 km/h,90%
2026-03-02T04:32:05.625057+07:00,Cần Thơ,69,/dl/web/weather/ic-weather-03n.svg,7.0 km/h,91%
2026-03-02T05:33:55.858679+07:00,Cần Thơ,73,/dl/web/weather/ic-weather-02n.svg,7.0 km/h,91%
2026-03-02T06:32:55.842520+07:00,Cần Thơ,72,/dl/web/weather/ic-weather-02n.svg,8.0 km/h,92%
2026-03-02T09:45:11.654579+07:00,Cần Thơ,53,/dl/web/weather/ic-weather-02d.svg,10.0 km/h,60%
2026-03-02T11:56:21.812382+07:00,Cần Thơ,47,/dl/web/weather/ic-weather-02d.svg,11.0 km/h,45%
2026-03-02T13:00:04.770656+07:00,Cần Thơ,54,/dl/web/weather/ic-weather-02d.svg,10.0 km/h,42%
2026-03-02T14:13:08.591781+07:00,Cần Thơ,42,/dl/web/weather/ic-weather-02d.svg,8.0 km/h,36%
2026-03-02T15:56:45.968080+07:00,Cần Thơ,71,/dl/web/weather/ic-weather-02d.svg,8.0 km/h,34%
2026-03-02T17:00:52.449993+07:00,Cần Thơ,53,/dl/web/weather/ic-weather-02d.svg,13.0 km/h,35%
2026-03-02T17:58:19.804259+07:00,Cần Thơ,87,/dl/web/weather/ic-weather-02d.svg,19.0 km/h,42%
2026-03-02T18:37:58.379215+07:00,Cần Thơ,70,/dl/web/weather/ic-weather-02d.svg,20.0 km/h,54%
2026-03-02T20:17:12.639128+07:00,Cần Thơ,74,/dl/web/weather/ic-weather-03n.svg,15.0 km/h,62%
2026-03-02T21:52:46.159728+07:00,Cần Thơ,62,/dl/web/weather/ic-weather-01n.svg,13.0 km/h,76%
2026-03-02T22:51:24.027482+07:00,Cần Thơ,59,/dl/web/weather/ic-weather-01n.svg,11.0 km/h,79%
2026-03-02T23:59:54.225321+07:00,Cần Thơ,59,/dl/web/weather/ic-weather-01n.svg,10.0 km/h,81%
2026-03-03T00:55:30.888037+07:00,Cần Thơ,59,/dl/web/weather/ic-weather-01n.svg,8.0 km/h,82%
2026-03-03T02:01:04.370214+07:00,Cần Thơ,33,/dl/web/weather/ic-weather-01n.svg,8.0 km/h,84%
2026-03-03T02:45:38.003036+07:00,Cần Thơ,44,/dl/web/weather/ic-weather-01n.svg,8.0 km/h,88%
