timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-02-01T00:30:48.504333+07:00,Hà Nội,97,/dl/web/weather/ic-weather-02n.svg,3.7 km/h,71%
2026-02-01T01:42:34.706973+07:00,Hà Nội,103,/dl/web/weather/ic-weather-03n.svg,5.1 km/h,71%
2026-02-01T02:27:00.145122+07:00,Hà Nội,99,/dl/web/weather/ic-weather-04n.svg,6.1 km/h,67%
2026-02-01T03:33:58.004119+07:00,Hà Nội,99,/dl/web/weather/ic-weather-04n.svg,6.0 km/h,70%
2026-02-01T04:29:41.297055+07:00,Hà Nội,98,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,69%
2026-02-01T05:30:51.221417+07:00,Hà Nội,97,/dl/web/weather/ic-weather-04n.svg,5.1 km/h,70%
2026-02-01T06:30:14.321225+07:00,Hà Nội,101,/dl/web/weather/ic-weather-04n.svg,5.8 km/h,71%
2026-02-01T10:16:10.274024+07:00,Hà Nội,156,/dl/web/weather/ic-weather-04d.svg,7.6 km/h,67%
2026-02-01T12:24:33.790055+07:00,Hà Nội,156,/dl/web/weather/ic-weather-04d.svg,6.4 km/h,60%
2026-02-01T13:59:30.438285+07:00,Hà Nội,156,/dl/web/weather/ic-weather-04d.svg,6.2 km/h,60%
2026-02-01T14:43:46.729793+07:00,Hà Nội,154,/dl/web/weather/ic-weather-04d.svg,7.5 km/h,60%
2026-02-01T15:41:00.028010+07:00,Hà Nội,153,/dl/web/weather/ic-weather-04d.svg,8.5 km/h,59%
2026-02-01T16:38:30.346738+07:00,Hà Nội,155,/dl/web/weather/ic-weather-04d.svg,8.6 km/h,61%
2026-02-01T17:34:34.314931+07:00,Hà Nội,159,/dl/web/weather/ic-weather-04d.svg,8.7 km/h,60%
2026-02-01T18:28:30.956150+07:00,Hà Nội,164,/dl/web/weather/ic-weather-04n.svg,7.6 km/h,62%
2026-02-01T20:05:26.399485+07:00,Hà Nội,174,/dl/web/weather/ic-weather-04n.svg,5.9 km/h,64%
2026-02-01T21:33:51.727547+07:00,Hà Nội,185,/dl/web/weather/ic-weather-04n.svg,6.4 km/h,65%
2026-02-01T22:32:47.914741+07:00,Hà Nội,193,/dl/web/weather/ic-weather-04n.svg,6.6 km/h,65%
2026-02-01T23:38:39.504792+07:00,Hà Nội,193,/dl/web/weather/ic-weather-04n.svg,6.4 km/h,65%
2026-02-02T00:31:18.826762+07:00,Hà Nội,173,/dl/web/weather/ic-weather-04n.svg,6.1 km/h,65%
2026-02-02T01:46:48.917994+07:00,Hà Nội,152,/dl/web/weather/ic-weather-04n.svg,6.1 km/h,65%
2026-02-02T02:30:56.617889+07:00,Hà Nội,155,/dl/web/weather/ic-weather-04n.svg,5.8 km/h,69%
2026-02-02T03:35:21.306887+07:00,Hà Nội,161,/dl/web/weather/ic-weather-04n.svg,5.0 km/h,68%
2026-02-02T04:30:18.393998+07:00,Hà Nội,161,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,67%
2026-02-02T05:33:18.360776+07:00,Hà Nội,156,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,68%
2026-02-02T06:33:05.167825+07:00,Hà Nội,157,/dl/web/weather/ic-weather-04n.svg,4.7 km/h,68%
2026-02-02T09:49:34.686627+07:00,Hà Nội,167,/dl/web/weather/ic-weather-04d.svg,8.9 km/h,62%
2026-02-02T12:03:59.062441+07:00,Hà Nội,159,/dl/web/weather/ic-weather-04d.svg,8.6 km/h,60%
2026-02-02T14:11:59.058964+07:00,Hà Nội,152,/dl/web/weather/ic-weather-04d.svg,6.9 km/h,54%
2026-02-02T15:54:53.392693+07:00,Hà Nội,153,/dl/web/weather/ic-weather-04d.svg,6.5 km/h,58%
2026-02-02T16:59:45.398142+07:00,Hà Nội,156,/dl/web/weather/ic-weather-04d.svg,7.5 km/h,57%
2026-02-02T17:59:15.124361+07:00,Hà Nội,158,/dl/web/weather/ic-weather-04d.svg,7.1 km/h,56%
2026-02-02T18:43:45.437295+07:00,Hà Nội,163,/dl/web/weather/ic-weather-04n.svg,5.3 km/h,59%
2026-02-02T20:16:21.444289+07:00,Hà Nội,186,/dl/web/weather/ic-weather-01n.svg,8.4 km/h,61%
2026-02-02T21:50:41.426428+07:00,Hà Nội,187,/dl/web/weather/ic-weather-03n.svg,7.8 km/h,63%
2026-02-02T22:42:40.625657+07:00,Hà Nội,188,/dl/web/weather/ic-weather-03n.svg,7.2 km/h,66%
2026-02-02T23:51:39.737256+07:00,Hà Nội,189,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,67%
2026-02-03T00:45:30.181097+07:00,Hà Nội,194,/dl/web/weather/ic-weather-04n.svg,3.6 km/h,74%
2026-02-03T06:36:07.209340+07:00,Hà Nội,185,/dl/web/weather/ic-weather-03n.svg,4.7 km/h,83%
2026-02-03T09:45:49.666745+07:00,Hà Nội,180,/dl/web/weather/ic-weather-01d.svg,4.8 km/h,70%
2026-02-03T11:52:58.426396+07:00,Hà Nội,182,/dl/web/weather/ic-weather-01d.svg,4.7 km/h,56%
2026-02-03T12:56:51.733261+07:00,Hà Nội,186,/dl/web/weather/ic-weather-01d.svg,7.3 km/h,53%
2026-02-03T14:03:45.497630+07:00,Hà Nội,191,/dl/web/weather/ic-weather-02d.svg,6.0 km/h,57%
2026-02-03T15:50:09.628936+07:00,Hà Nội,192,/dl/web/weather/ic-weather-02d.svg,6.0 km/h,57%
2026-02-03T16:53:10.660488+07:00,Hà Nội,194,/dl/web/weather/ic-weather-01d.svg,4.0 km/h,60%
2026-02-03T17:51:24.095418+07:00,Hà Nội,191,/dl/web/weather/ic-weather-01d.svg,4.0 km/h,64%
2026-02-03T18:40:26.068453+07:00,Hà Nội,192,/dl/web/weather/ic-weather-01n.svg,2.0 km/h,68%
2026-02-03T20:17:11.358951+07:00,Hà Nội,211,/dl/web/weather/ic-weather-01n.svg,0.0 km/h,73%
2026-02-03T21:52:37.364569+07:00,Hà Nội,225,/dl/web/weather/ic-weather-01n.svg,0.0 km/h,78%
