timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:22:29.247576+07:00,Hà Nội,71,/dl/web/weather/ic-weather-04n.svg,4.5 km/h,95%
2025-10-01T01:33:11.251648+07:00,Hà Nội,88,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,95%
2025-10-01T02:19:24.221815+07:00,Hà Nội,90,/dl/web/weather/ic-weather-04n.svg,4.9 km/h,96%
2025-10-01T03:27:04.501481+07:00,Hà Nội,93,/dl/web/weather/ic-weather-04n.svg,5.1 km/h,98%
2025-10-01T04:21:43.563341+07:00,Hà Nội,87,/dl/web/weather/ic-weather-04n.svg,4.3 km/h,97%
2025-10-01T05:22:28.868990+07:00,Hà Nội,75,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,98%
2025-10-01T06:21:29.116911+07:00,Hà Nội,84,/dl/web/weather/ic-weather-04d.svg,3.8 km/h,95%
2025-10-01T09:03:24.848960+07:00,Hà Nội,81,/dl/web/weather/ic-weather-04d.svg,5.1 km/h,90%
2025-10-01T10:44:43.306465+07:00,Hà Nội,58,/dl/web/weather/ic-weather-04d.svg,15.0 km/h,74%
2025-10-01T11:28:56.114857+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,10.5 km/h,72%
2025-10-01T12:24:36.976517+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,10.4 km/h,72%
2025-10-01T13:37:04.358939+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,9.7 km/h,71%
2025-10-01T14:24:52.707438+07:00,Hà Nội,44,/dl/web/weather/ic-weather-04d.svg,9.3 km/h,79%
2025-10-01T15:33:16.241922+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,9.2 km/h,79%
2025-10-01T16:27:26.976814+07:00,Hà Nội,55,/dl/web/weather/ic-weather-04d.svg,9.5 km/h,73%
2025-10-01T17:26:40.404557+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,8.9 km/h,79%
2025-10-01T18:21:19.870701+07:00,Hà Nội,60,/dl/web/weather/ic-weather-04n.svg,6.9 km/h,84%
2025-10-01T19:53:45.065070+07:00,Hà Nội,68,/dl/web/weather/ic-weather-04n.svg,6.5 km/h,87%
2025-10-01T20:34:34.525032+07:00,Hà Nội,77,/dl/web/weather/ic-weather-04n.svg,7.3 km/h,87%
2025-10-01T21:26:39.207525+07:00,Hà Nội,86,/dl/web/weather/ic-weather-04n.svg,7.0 km/h,89%
2025-10-01T22:25:46.017417+07:00,Hà Nội,73,/dl/web/weather/ic-weather-04n.svg,6.4 km/h,90%
2025-10-01T23:31:15.818340+07:00,Hà Nội,77,/dl/web/weather/ic-weather-04n.svg,6.8 km/h,91%
2025-10-02T00:22:07.333975+07:00,Hà Nội,77,/dl/web/weather/ic-weather-04n.svg,5.9 km/h,92%
2025-10-02T01:35:09.083624+07:00,Hà Nội,77,/dl/web/weather/ic-weather-04n.svg,5.3 km/h,92%
2025-10-02T02:19:26.903563+07:00,Hà Nội,83,/dl/web/weather/ic-weather-04n.svg,5.7 km/h,93%
2025-10-02T03:27:47.652862+07:00,Hà Nội,85,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,94%
2025-10-02T04:21:55.248085+07:00,Hà Nội,94,/dl/web/weather/ic-weather-04n.svg,5.1 km/h,94%
2025-10-02T05:22:38.178165+07:00,Hà Nội,95,/dl/web/weather/ic-weather-04n.svg,8.4 km/h,94%
2025-10-02T06:21:06.537548+07:00,Hà Nội,98,/dl/web/weather/ic-weather-04d.svg,4.8 km/h,95%
2025-10-02T08:50:46.955368+07:00,Hà Nội,128,/dl/web/weather/ic-weather-04d.svg,6.0 km/h,84%
2025-10-02T10:01:23.190114+07:00,Hà Nội,82,/dl/web/weather/ic-weather-04d.svg,7.4 km/h,78%
2025-10-02T11:28:18.641597+07:00,Hà Nội,59,/dl/web/weather/ic-weather-04d.svg,8.6 km/h,64%
2025-10-02T12:23:10.034142+07:00,Hà Nội,60,/dl/web/weather/ic-weather-04d.svg,8.9 km/h,60%
2025-10-02T13:35:49.003323+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,8.9 km/h,56%
2025-10-02T14:22:54.295535+07:00,Hà Nội,54,/dl/web/weather/ic-weather-04d.svg,8.5 km/h,57%
2025-10-02T15:31:54.322124+07:00,Hà Nội,55,/dl/web/weather/ic-weather-04d.svg,8.1 km/h,62%
2025-10-02T16:25:17.152698+07:00,Hà Nội,54,/dl/web/weather/ic-weather-04d.svg,8.3 km/h,65%
2025-10-02T17:25:01.822590+07:00,Hà Nội,58,/dl/web/weather/ic-weather-04d.svg,9.0 km/h,69%
2025-10-02T18:19:24.643593+07:00,Hà Nội,62,/dl/web/weather/ic-weather-04n.svg,9.4 km/h,72%
2025-10-02T19:49:42.961460+07:00,Hà Nội,67,/dl/web/weather/ic-weather-04n.svg,8.6 km/h,77%
2025-10-02T20:31:43.016159+07:00,Hà Nội,71,/dl/web/weather/ic-weather-04n.svg,8.5 km/h,79%
2025-10-02T21:24:44.048081+07:00,Hà Nội,71,/dl/web/weather/ic-weather-04n.svg,8.3 km/h,81%
2025-10-02T22:25:32.462233+07:00,Hà Nội,68,/dl/web/weather/ic-weather-04n.svg,7.8 km/h,83%
2025-10-02T23:30:23.840188+07:00,Hà Nội,69,/dl/web/weather/ic-weather-04n.svg,7.6 km/h,84%
