timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:22:29.247576+07:00,Hà Nội,71,/dl/web/weather/ic-weather-04n.svg,4.5 km/h,95%
2025-10-01T01:33:11.251648+07:00,Hà Nội,88,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,95%
2025-10-01T02:19:24.221815+07:00,Hà Nội,90,/dl/web/weather/ic-weather-04n.svg,4.9 km/h,96%
2025-10-01T03:27:04.501481+07:00,Hà Nội,93,/dl/web/weather/ic-weather-04n.svg,5.1 km/h,98%
2025-10-01T04:21:43.563341+07:00,Hà Nội,87,/dl/web/weather/ic-weather-04n.svg,4.3 km/h,97%
2025-10-01T05:22:28.868990+07:00,Hà Nội,75,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,98%
2025-10-01T06:21:29.116911+07:00,Hà Nội,84,/dl/web/weather/ic-weather-04d.svg,3.8 km/h,95%
2025-10-01T09:03:24.848960+07:00,Hà Nội,81,/dl/web/weather/ic-weather-04d.svg,5.1 km/h,90%
2025-10-01T10:44:43.306465+07:00,Hà Nội,58,/dl/web/weather/ic-weather-04d.svg,15.0 km/h,74%
2025-10-01T11:28:56.114857+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,10.5 km/h,72%
2025-10-01T12:24:36.976517+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,10.4 km/h,72%
2025-10-01T13:37:04.358939+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,9.7 km/h,71%
2025-10-01T14:24:52.707438+07:00,Hà Nội,44,/dl/web/weather/ic-weather-04d.svg,9.3 km/h,79%
2025-10-01T15:33:16.241922+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,9.2 km/h,79%
2025-10-01T16:27:26.976814+07:00,Hà Nội,55,/dl/web/weather/ic-weather-04d.svg,9.5 km/h,73%
2025-10-01T17:26:40.404557+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,8.9 km/h,79%
2025-10-01T18:21:19.870701+07:00,Hà Nội,60,/dl/web/weather/ic-weather-04n.svg,6.9 km/h,84%
