timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-08-01T00:04:10.451487+07:00,Hà Nội,68,/dl/web/weather/ic-weather-10n.svg,11.6 km/h,87%
2025-08-01T01:01:51.379878+07:00,Hà Nội,61,/dl/web/weather/ic-weather-10n.svg,9.2 km/h,82%
2025-08-01T02:03:18.589311+07:00,Hà Nội,27,/dl/web/weather/ic-weather-10n.svg,16.7 km/h,90%
2025-08-01T03:01:41.502743+07:00,Hà Nội,21,/dl/web/weather/ic-weather-10n.svg,17.4 km/h,96%
2025-08-01T04:01:43.294381+07:00,Hà Nội,22,/dl/web/weather/ic-weather-10n.svg,15.8 km/h,92%
2025-08-01T05:01:40.629383+07:00,Hà Nội,28,/dl/web/weather/ic-weather-10n.svg,15.1 km/h,95%
2025-08-01T06:01:39.914171+07:00,Hà Nội,28,/dl/web/weather/ic-weather-04d.svg,14.8 km/h,93%
2025-08-01T07:05:58.521232+07:00,Hà Nội,47,/dl/web/weather/ic-weather-10d.svg,14.2 km/h,91%
2025-08-01T08:30:19.704582+07:00,Hà Nội,56,/dl/web/weather/ic-weather-10d.svg,14.0 km/h,92%
2025-08-01T09:47:28.331012+07:00,Hà Nội,58,/dl/web/weather/ic-weather-04d.svg,13.4 km/h,88%
2025-08-01T10:35:57.810957+07:00,Hà Nội,56,/dl/web/weather/ic-weather-04d.svg,14.6 km/h,86%
2025-08-01T11:23:06.231922+07:00,Hà Nội,57,/dl/web/weather/ic-weather-04d.svg,15.1 km/h,81%
2025-08-01T12:10:04.913528+07:00,Hà Nội,55,/dl/web/weather/ic-weather-10d.svg,13.2 km/h,78%
2025-08-01T13:03:07.485191+07:00,Hà Nội,55,/dl/web/weather/ic-weather-04d.svg,8.7 km/h,76%
2025-08-13T15:02:29.724076+07:00,Hà Nội,80,/dl/web/weather/ic-weather-10d.svg,80.0 km/h,80%
2025-08-13T15:13:32.138921+07:00,Hà Nội,84,/dl/web/weather/ic-weather-10d.svg,84.0 km/h,84%
2025-08-13T16:12:40.298291+07:00,Hà Nội,84,/dl/web/weather/ic-weather-04d.svg,84.0 km/h,84%
2025-08-13T17:10:32.387885+07:00,Hà Nội,90,/dl/web/weather/ic-weather-04d.svg,90.0 km/h,90%
2025-08-13T18:08:47.607836+07:00,Hà Nội,92,/dl/web/weather/ic-weather-04d.svg,92.0 km/h,92%
2025-08-13T19:18:16.063849+07:00,Hà Nội,96,/dl/web/weather/ic-weather-04n.svg,96.0 km/h,96%
2025-08-13T21:11:07.950127+07:00,Hà Nội,99,/dl/web/weather/ic-weather-04n.svg,99.0 km/h,99%
2025-08-13T22:08:42.880428+07:00,Hà Nội,102,/dl/web/weather/ic-weather-04n.svg,102.0 km/h,102%
2025-08-13T23:08:37.227770+07:00,Hà Nội,107,/dl/web/weather/ic-weather-04n.svg,107.0 km/h,107%
2025-08-14T00:07:30.859322+07:00,Hà Nội,106,/dl/web/weather/ic-weather-04n.svg,106.0 km/h,106%
2025-08-14T01:14:08.661541+07:00,Hà Nội,113,/dl/web/weather/ic-weather-04n.svg,113.0 km/h,113%
2025-08-14T02:08:06.859178+07:00,Hà Nội,115,/dl/web/weather/ic-weather-04n.svg,115.0 km/h,115%
