timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-11-01T00:23:48.739737+07:00,Hồ Chí Minh,116,/dl/web/weather/ic-weather-02n.svg,2.3 km/h,90%
2025-11-01T01:37:00.458061+07:00,Hồ Chí Minh,123,/dl/web/weather/ic-weather-01n.svg,2.3 km/h,91%
2025-11-01T02:19:14.036775+07:00,Hồ Chí Minh,150,/dl/web/weather/ic-weather-04n.svg,3.4 km/h,94%
2025-11-01T03:28:31.816626+07:00,Hồ Chí Minh,154,/dl/web/weather/ic-weather-03n.svg,2.3 km/h,95%
2025-11-01T04:20:40.914052+07:00,Hồ Chí Minh,156,/dl/web/weather/ic-weather-02n.svg,2.3 km/h,97%
2025-11-01T05:24:14.987473+07:00,Hồ Chí Minh,147,/dl/web/weather/ic-weather-03n.svg,4.0 km/h,98%
2025-11-01T06:23:23.265910+07:00,Hồ Chí Minh,140,/dl/web/weather/ic-weather-02d.svg,3.4 km/h,98%
2025-11-01T09:02:36.419237+07:00,Hồ Chí Minh,140,/dl/web/weather/ic-weather-50d.svg,4.6 km/h,94%
2025-11-01T10:45:08.352446+07:00,Hồ Chí Minh,95,/dl/web/weather/ic-weather-03d.svg,2.3 km/h,82%
2025-11-01T11:27:51.552990+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-weather-03d.svg,8.1 km/h,70%
2025-11-01T12:24:05.465750+07:00,Hồ Chí Minh,70,/dl/web/weather/ic-weather-04d.svg,4.6 km/h,94%
2025-11-01T13:34:25.883555+07:00,Hồ Chí Minh,79,/dl/web/weather/ic-weather-10d.svg,5.7 km/h,94%
2025-11-01T14:21:36.796866+07:00,Hồ Chí Minh,75,/dl/web/weather/ic-weather-10d.svg,5.7 km/h,89%
2025-11-01T15:30:19.871105+07:00,Hồ Chí Minh,81,/dl/web/weather/ic-weather-10d.svg,5.7 km/h,91%
2025-11-01T16:23:50.219612+07:00,Hồ Chí Minh,87,/dl/web/weather/ic-weather-04d.svg,4.6 km/h,93%
2025-11-01T17:24:46.779778+07:00,Hồ Chí Minh,85,/dl/web/weather/ic-weather-03d.svg,5.7 km/h,93%
2025-11-01T18:18:54.602437+07:00,Hồ Chí Minh,71,/dl/web/weather/ic-weather-04n.svg,10.4 km/h,99%
2025-11-01T19:47:20.100786+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-weather-04n.svg,2.3 km/h,99%
2025-11-01T20:28:07.556716+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-10n.svg,3.4 km/h,99%
2025-11-01T21:20:57.620733+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-04n.svg,2.3 km/h,99%
2025-11-01T22:21:57.128190+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-04n.svg,6.0 km/h,99%
2025-11-01T23:27:26.321860+07:00,Hồ Chí Minh,74,/dl/web/weather/ic-weather-04n.svg,5.7 km/h,99%
2025-11-02T00:19:17.515749+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-weather-50n.svg,1.0 km/h,99%
2025-11-02T01:32:02.267848+07:00,Hồ Chí Minh,99,/dl/web/weather/ic-weather-50n.svg,2.3 km/h,99%
2025-11-02T02:17:38.445570+07:00,Hồ Chí Minh,105,/dl/web/weather/ic-weather-50n.svg,1.1 km/h,99%
2025-11-02T03:24:16.862494+07:00,Hồ Chí Minh,103,/dl/web/weather/ic-weather-50n.svg,1.1 km/h,99%
2025-11-02T04:20:00.251879+07:00,Hồ Chí Minh,106,/dl/web/weather/ic-weather-03n.svg,3.4 km/h,98%
2025-11-02T05:21:54.602949+07:00,Hồ Chí Minh,119,/dl/web/weather/ic-weather-50n.svg,2.3 km/h,99%
2025-11-02T06:22:19.407266+07:00,Hồ Chí Minh,124,/dl/web/weather/ic-weather-50d.svg,1.0 km/h,99%
2025-11-02T09:05:19.412151+07:00,Hồ Chí Minh,152,/dl/web/weather/ic-weather-50d.svg,4.6 km/h,94%
2025-11-02T10:49:10.457246+07:00,Hồ Chí Minh,96,/dl/web/weather/ic-weather-02d.svg,4.6 km/h,84%
2025-11-02T11:29:25.434131+07:00,Hồ Chí Minh,93,/dl/web/weather/ic-weather-03d.svg,5.7 km/h,81%
2025-11-02T12:24:29.567959+07:00,Hồ Chí Minh,81,/dl/web/weather/ic-weather-03d.svg,9.0 km/h,79%
2025-11-02T13:35:50.792227+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-weather-03d.svg,8.1 km/h,79%
2025-11-02T14:22:37.852670+07:00,Hồ Chí Minh,64,/dl/web/weather/ic-weather-03d.svg,4.6 km/h,73%
2025-11-02T15:28:41.448615+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-02d.svg,5.7 km/h,73%
2025-11-02T16:22:30.198915+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-02d.svg,9.2 km/h,66%
2025-11-02T17:24:11.946800+07:00,Hồ Chí Minh,50,/dl/web/weather/ic-weather-02d.svg,9.2 km/h,70%
2025-11-02T18:18:49.706604+07:00,Hồ Chí Minh,53,/dl/web/weather/ic-weather-03n.svg,15.0 km/h,90%
2025-11-02T19:46:28.042165+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-03n.svg,10.4 km/h,91%
2025-11-02T20:27:42.907533+07:00,Hồ Chí Minh,62,/dl/web/weather/ic-weather-02n.svg,11.5 km/h,91%
