timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-08-01T00:04:16.833781+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-weather-04n.svg,15.0 km/h,80%
2025-08-01T01:01:57.523286+07:00,Hồ Chí Minh,64,/dl/web/weather/ic-weather-04n.svg,13.5 km/h,81%
2025-08-01T02:03:24.134215+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-04n.svg,12.4 km/h,83%
2025-08-01T03:01:47.161188+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-04n.svg,11.1 km/h,84%
2025-08-01T04:01:48.830446+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-04n.svg,10.0 km/h,84%
2025-08-01T05:01:46.471370+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-04n.svg,9.8 km/h,86%
2025-08-01T06:01:45.916369+07:00,Hồ Chí Minh,63,/dl/web/weather/ic-weather-04d.svg,9.7 km/h,88%
2025-08-01T07:06:04.495713+07:00,Hồ Chí Minh,65,/dl/web/weather/ic-weather-04d.svg,12.7 km/h,85%
2025-08-01T08:30:27.514705+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-weather-04d.svg,14.6 km/h,82%
2025-08-01T09:47:34.174267+07:00,Hồ Chí Minh,62,/dl/web/weather/ic-weather-04d.svg,15.8 km/h,76%
2025-08-01T10:36:03.947677+07:00,Hồ Chí Minh,64,/dl/web/weather/ic-weather-03d.svg,16.7 km/h,71%
2025-08-01T11:23:14.571204+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-04d.svg,16.7 km/h,68%
2025-08-01T12:10:10.788170+07:00,Hồ Chí Minh,57,/dl/web/weather/ic-weather-04d.svg,17.5 km/h,64%
2025-08-01T13:03:13.338098+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-04d.svg,16.9 km/h,60%
2025-08-13T15:02:32.827587+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-04d.svg,58.0 km/h,58%
2025-08-13T15:13:35.993926+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-weather-04d.svg,68.0 km/h,68%
2025-08-13T16:12:44.206230+07:00,Hồ Chí Minh,62,/dl/web/weather/ic-weather-04d.svg,62.0 km/h,62%
2025-08-13T17:10:36.081629+07:00,Hồ Chí Minh,62,/dl/web/weather/ic-weather-04d.svg,62.0 km/h,62%
2025-08-13T18:08:53.211136+07:00,Hồ Chí Minh,63,/dl/web/weather/ic-weather-04d.svg,63.0 km/h,63%
2025-08-13T19:18:19.990975+07:00,Hồ Chí Minh,67,/dl/web/weather/ic-weather-04n.svg,67.0 km/h,67%
2025-08-13T20:29:16.176652+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-04n.svg,60.0 km/h,60%
2025-08-13T21:11:12.226179+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-weather-04n.svg,66.0 km/h,66%
2025-08-13T22:08:45.790638+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-weather-04n.svg,66.0 km/h,66%
2025-08-13T23:08:41.192427+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-weather-04n.svg,66.0 km/h,66%
2025-08-14T00:07:34.871709+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-weather-04n.svg,66.0 km/h,66%
2025-08-14T01:14:12.731239+07:00,Hồ Chí Minh,61,/dl/web/weather/ic-weather-04n.svg,61.0 km/h,61%
2025-08-14T02:08:09.869899+07:00,Hồ Chí Minh,59,/dl/web/weather/ic-weather-04n.svg,59.0 km/h,59%
