timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-02-01T00:30:54.931140+07:00,Hải Phòng,92,/dl/web/weather/ic-weather-04n.svg,11.1 km/h,77%
2026-02-01T01:42:40.598365+07:00,Hải Phòng,84,/dl/web/weather/ic-weather-04n.svg,11.1 km/h,77%
2026-02-01T02:27:08.097996+07:00,Hải Phòng,90,/dl/web/weather/ic-weather-04n.svg,11.1 km/h,72%
2026-02-01T03:34:04.522725+07:00,Hải Phòng,82,/dl/web/weather/ic-weather-04n.svg,7.4 km/h,72%
2026-02-01T04:29:47.147930+07:00,Hải Phòng,84,/dl/web/weather/ic-weather-04n.svg,9.3 km/h,72%
2026-02-01T05:30:57.659610+07:00,Hải Phòng,84,/dl/web/weather/ic-weather-04n.svg,9.3 km/h,72%
2026-02-01T06:30:20.602940+07:00,Hải Phòng,90,/dl/web/weather/ic-weather-01n.svg,7.4 km/h,72%
2026-02-01T10:16:17.647749+07:00,Hải Phòng,86,/dl/web/weather/ic-weather-01d.svg,5.5 km/h,68%
2026-02-01T12:24:41.124576+07:00,Hải Phòng,86,/dl/web/weather/ic-weather-04d.svg,7.4 km/h,60%
2026-02-01T13:59:36.097396+07:00,Hải Phòng,86,/dl/web/weather/ic-weather-04d.svg,5.5 km/h,53%
2026-02-01T14:43:54.716412+07:00,Hải Phòng,92,/dl/web/weather/ic-weather-03d.svg,7.4 km/h,56%
2026-02-01T15:41:06.141483+07:00,Hải Phòng,96,/dl/web/weather/ic-weather-04d.svg,9.3 km/h,60%
2026-02-01T16:38:36.559635+07:00,Hải Phòng,97,/dl/web/weather/ic-weather-04d.svg,13.0 km/h,64%
2026-02-01T17:34:40.188159+07:00,Hải Phòng,96,/dl/web/weather/ic-weather-02d.svg,13.0 km/h,68%
2026-02-01T18:28:36.654508+07:00,Hải Phòng,94,/dl/web/weather/ic-weather-01n.svg,9.3 km/h,72%
2026-02-01T20:05:35.551606+07:00,Hải Phòng,97,/dl/web/weather/ic-weather-01n.svg,11.1 km/h,77%
2026-02-01T21:33:57.558611+07:00,Hải Phòng,92,/dl/web/weather/ic-weather-01n.svg,7.4 km/h,77%
2026-02-01T22:32:54.460654+07:00,Hải Phòng,96,/dl/web/weather/ic-weather-01n.svg,3.7 km/h,82%
2026-02-01T23:38:45.705763+07:00,Hải Phòng,102,/dl/web/weather/ic-weather-03n.svg,3.7 km/h,77%
2026-02-02T00:31:24.632586+07:00,Hải Phòng,107,/dl/web/weather/ic-weather-04n.svg,7.4 km/h,82%
2026-02-02T01:46:54.898838+07:00,Hải Phòng,105,/dl/web/weather/ic-weather-04n.svg,7.4 km/h,72%
