timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-09-01T00:19:39.697676+07:00,Nha Trang,68,/dl/web/weather/ic-weather-03n.svg,5.9 km/h,87%
2025-09-01T01:32:36.105039+07:00,Nha Trang,68,/dl/web/weather/ic-weather-03n.svg,6.0 km/h,90%
2025-09-01T02:18:29.425577+07:00,Nha Trang,66,/dl/web/weather/ic-weather-02n.svg,6.2 km/h,87%
2025-09-01T03:25:48.541488+07:00,Nha Trang,66,/dl/web/weather/ic-weather-02n.svg,5.3 km/h,88%
2025-09-01T04:21:07.759343+07:00,Nha Trang,66,/dl/web/weather/ic-weather-02n.svg,5.4 km/h,88%
2025-09-01T05:22:29.835176+07:00,Nha Trang,65,/dl/web/weather/ic-weather-03n.svg,5.0 km/h,88%
2025-09-01T06:22:08.154742+07:00,Nha Trang,65,/dl/web/weather/ic-weather-03d.svg,4.6 km/h,87%
2025-09-01T09:11:29.069663+07:00,Nha Trang,66,/dl/web/weather/ic-weather-03d.svg,1.3 km/h,62%
2025-09-01T10:54:49.486576+07:00,Nha Trang,64,/dl/web/weather/ic-weather-03d.svg,5.1 km/h,61%
2025-09-01T11:34:34.804223+07:00,Nha Trang,64,/dl/web/weather/ic-weather-03d.svg,8.5 km/h,58%
2025-09-01T12:26:26.945926+07:00,Nha Trang,64,/dl/web/weather/ic-weather-03d.svg,11.0 km/h,59%
2025-09-01T13:39:49.318142+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04d.svg,10.5 km/h,60%
2025-09-01T14:25:44.863415+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04d.svg,10.5 km/h,71%
2025-09-01T15:35:21.830152+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04d.svg,8.8 km/h,81%
2025-09-01T16:29:44.678761+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04d.svg,7.4 km/h,83%
2025-09-01T17:28:12.625901+07:00,Nha Trang,64,/dl/web/weather/ic-weather-04d.svg,9.4 km/h,84%
2025-09-01T18:20:48.150396+07:00,Nha Trang,64,/dl/web/weather/ic-weather-10n.svg,4.9 km/h,88%
2025-09-01T19:53:14.253749+07:00,Nha Trang,63,/dl/web/weather/ic-weather-10n.svg,3.4 km/h,86%
2025-09-01T20:33:39.413159+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,2.4 km/h,84%
2025-09-01T21:24:18.648783+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,0.4 km/h,84%
2025-09-01T22:24:59.014374+07:00,Nha Trang,63,/dl/web/weather/ic-weather-10n.svg,2.1 km/h,85%
2025-09-01T23:29:47.541846+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04n.svg,2.3 km/h,86%
2025-09-02T00:20:14.468937+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04n.svg,3.3 km/h,85%
2025-09-02T01:33:38.915499+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,87%
2025-09-02T02:19:09.844966+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04n.svg,6.4 km/h,91%
2025-09-02T03:25:51.039609+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04n.svg,7.0 km/h,94%
2025-09-02T04:21:17.029135+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04n.svg,5.9 km/h,92%
2025-09-02T05:23:08.521329+07:00,Nha Trang,66,/dl/web/weather/ic-weather-04n.svg,5.1 km/h,90%
2025-09-02T06:22:28.291658+07:00,Nha Trang,66,/dl/web/weather/ic-weather-04d.svg,4.2 km/h,91%
2025-09-02T08:57:13.972426+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04d.svg,3.0 km/h,77%
2025-09-02T10:11:30.086167+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04d.svg,3.7 km/h,62%
2025-09-02T11:30:20.184596+07:00,Nha Trang,67,/dl/web/weather/ic-weather-03d.svg,7.7 km/h,65%
2025-09-02T12:25:36.517447+07:00,Nha Trang,67,/dl/web/weather/ic-weather-03d.svg,10.9 km/h,66%
2025-09-02T13:38:01.600423+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04d.svg,10.4 km/h,70%
2025-09-02T14:24:45.985811+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04d.svg,8.8 km/h,78%
2025-09-02T15:33:48.273257+07:00,Nha Trang,67,/dl/web/weather/ic-weather-10d.svg,8.7 km/h,78%
2025-09-02T16:27:34.939978+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04d.svg,7.6 km/h,79%
2025-09-02T17:27:10.434418+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04d.svg,5.9 km/h,77%
2025-09-02T18:21:04.035353+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,87%
2025-09-02T19:53:03.962473+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04n.svg,4.3 km/h,89%
2025-09-02T20:34:39.068212+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04n.svg,2.4 km/h,81%
2025-09-02T21:26:25.734083+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04n.svg,3.3 km/h,89%
2025-09-02T22:27:57.337094+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04n.svg,6.0 km/h,92%
2025-09-02T23:31:25.086282+07:00,Nha Trang,66,/dl/web/weather/ic-weather-04n.svg,6.6 km/h,92%
2025-09-03T00:21:12.572835+07:00,Nha Trang,66,/dl/web/weather/ic-weather-04n.svg,6.6 km/h,93%
2025-09-03T01:33:10.036316+07:00,Nha Trang,66,/dl/web/weather/ic-weather-04n.svg,5.9 km/h,92%
2025-09-03T02:18:31.115615+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04n.svg,5.2 km/h,90%
2025-09-03T03:24:28.445048+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04n.svg,4.5 km/h,89%
2025-09-03T04:21:10.141504+07:00,Nha Trang,65,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,88%
2025-09-03T05:21:29.904789+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,7.0 km/h,88%
2025-09-03T06:20:43.041674+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04d.svg,5.6 km/h,88%
2025-09-03T08:49:20.292829+07:00,Nha Trang,62,/dl/web/weather/ic-weather-02d.svg,4.2 km/h,75%
2025-09-03T09:59:09.075257+07:00,Nha Trang,62,/dl/web/weather/ic-weather-03d.svg,1.7 km/h,69%
2025-09-03T10:33:32.083440+07:00,Nha Trang,62,/dl/web/weather/ic-weather-03d.svg,4.7 km/h,64%
2025-09-03T11:28:53.547332+07:00,Nha Trang,67,/dl/web/weather/ic-weather-02d.svg,9.1 km/h,65%
2025-09-03T12:22:49.627668+07:00,Nha Trang,67,/dl/web/weather/ic-weather-03d.svg,11.0 km/h,60%
2025-09-03T13:34:41.304327+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04d.svg,8.5 km/h,63%
2025-09-03T14:23:38.033694+07:00,Nha Trang,16,/dl/web/weather/ic-weather-04d.svg,8.9 km/h,74%
2025-09-03T15:32:06.852936+07:00,Nha Trang,16,/dl/web/weather/ic-weather-04d.svg,8.8 km/h,76%
2025-09-03T16:26:02.634486+07:00,Nha Trang,16,/dl/web/weather/ic-weather-04d.svg,6.8 km/h,77%
2025-09-03T17:25:26.544920+07:00,Nha Trang,16,/dl/web/weather/ic-weather-04d.svg,5.0 km/h,80%
2025-09-03T18:20:00.508502+07:00,Nha Trang,16,/dl/web/weather/ic-weather-04n.svg,2.4 km/h,81%
