timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-01-01T00:24:55.355178+07:00,Huế,69,/dl/web/weather/ic-weather-04n.svg,3.7 km/h,83%
2026-01-01T01:38:46.019279+07:00,Huế,73,/dl/web/weather/ic-weather-04n.svg,5.5 km/h,78%
2026-01-01T02:22:16.260947+07:00,Huế,69,/dl/web/weather/ic-weather-02n.svg,5.5 km/h,78%
2026-01-01T03:30:28.730811+07:00,Huế,65,/dl/web/weather/ic-weather-02n.svg,3.7 km/h,82%
2026-01-01T04:25:58.935405+07:00,Huế,64,/dl/web/weather/ic-weather-02n.svg,3.7 km/h,82%
2026-01-01T05:28:03.217519+07:00,Huế,64,/dl/web/weather/ic-weather-50n.svg,3.7 km/h,94%
2026-01-01T06:26:46.454431+07:00,Huế,64,/dl/web/weather/ic-weather-50n.svg,5.5 km/h,100%
2026-01-01T09:28:06.965565+07:00,Huế,65,/dl/web/weather/ic-weather-02d.svg,3.7 km/h,78%
2026-01-01T11:14:01.983444+07:00,Huế,65,/dl/web/weather/ic-weather-02d.svg,9.3 km/h,61%
2026-01-01T12:34:33.555947+07:00,Huế,64,/dl/web/weather/ic-weather-02d.svg,7.4 km/h,57%
2026-01-01T13:43:19.048887+07:00,Huế,64,/dl/web/weather/ic-weather-02d.svg,7.4 km/h,57%
2026-01-01T14:29:41.183150+07:00,Huế,62,/dl/web/weather/ic-weather-02d.svg,14.8 km/h,50%
2026-01-01T15:38:10.109385+07:00,Huế,62,/dl/web/weather/ic-weather-02d.svg,9.3 km/h,50%
2026-01-01T16:32:48.284508+07:00,Huế,62,/dl/web/weather/ic-weather-02d.svg,9.3 km/h,41%
2026-01-01T17:31:01.532695+07:00,Huế,62,/dl/web/weather/ic-weather-02d.svg,9.3 km/h,50%
2026-01-01T18:25:08.482465+07:00,Huế,62,/dl/web/weather/ic-weather-02n.svg,11.1 km/h,69%
2026-01-01T19:56:57.392585+07:00,Huế,62,/dl/web/weather/ic-weather-02n.svg,9.3 km/h,73%
2026-01-01T20:39:04.618178+07:00,Huế,64,/dl/web/weather/ic-weather-02n.svg,7.4 km/h,83%
2026-01-01T21:27:01.735583+07:00,Huế,62,/dl/web/weather/ic-weather-02n.svg,5.5 km/h,83%
2026-01-01T22:29:19.784768+07:00,Huế,64,/dl/web/weather/ic-weather-03n.svg,5.5 km/h,83%
2026-01-01T23:35:18.220628+07:00,Huế,64,/dl/web/weather/ic-weather-03n.svg,3.7 km/h,88%
2026-01-02T00:26:11.951352+07:00,Huế,65,/dl/web/weather/ic-weather-03n.svg,3.7 km/h,88%
2026-01-02T01:38:59.697397+07:00,Huế,65,/dl/web/weather/ic-weather-04n.svg,5.5 km/h,88%
2026-01-02T02:23:13.927657+07:00,Huế,65,/dl/web/weather/ic-weather-04n.svg,7.4 km/h,83%
2026-01-02T03:31:29.496046+07:00,Huế,64,/dl/web/weather/ic-weather-04n.svg,1.8 km/h,83%
2026-01-02T04:26:34.296803+07:00,Huế,64,/dl/web/weather/ic-weather-04n.svg,7.4 km/h,88%
2026-01-02T05:27:50.080691+07:00,Huế,65,/dl/web/weather/ic-weather-04n.svg,5.5 km/h,88%
