timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-12-01T00:22:25.982252+07:00,Vinh,94,/dl/web/weather/ic-weather-01n.svg,3.4 km/h,85%
2025-12-01T01:35:34.215767+07:00,Vinh,94,/dl/web/weather/ic-weather-01n.svg,4.6 km/h,84%
2025-12-01T02:21:04.248019+07:00,Vinh,94,/dl/web/weather/ic-weather-04n.svg,5.2 km/h,84%
2025-12-01T03:28:42.288517+07:00,Vinh,94,/dl/web/weather/ic-weather-04n.svg,5.1 km/h,84%
2025-12-01T04:23:22.594496+07:00,Vinh,94,/dl/web/weather/ic-weather-04n.svg,4.9 km/h,84%
2025-12-01T05:25:14.040231+07:00,Vinh,91,/dl/web/weather/ic-weather-04n.svg,4.9 km/h,84%
2025-12-01T06:24:49.339050+07:00,Vinh,91,/dl/web/weather/ic-weather-04d.svg,4.7 km/h,85%
2025-12-01T09:28:31.638574+07:00,Vinh,92,/dl/web/weather/ic-weather-04d.svg,5.1 km/h,85%
2025-12-01T11:14:52.767691+07:00,Vinh,99,/dl/web/weather/ic-weather-04d.svg,4.5 km/h,82%
2025-12-01T12:34:32.916138+07:00,Vinh,99,/dl/web/weather/ic-weather-04d.svg,3.9 km/h,81%
2025-12-01T13:43:06.662633+07:00,Vinh,93,/dl/web/weather/ic-weather-04d.svg,2.8 km/h,80%
2025-12-01T14:29:37.232561+07:00,Vinh,93,/dl/web/weather/ic-weather-04d.svg,2.0 km/h,83%
2025-12-01T15:39:54.869421+07:00,Vinh,93,/dl/web/weather/ic-weather-04d.svg,1.4 km/h,84%
2025-12-01T16:36:14.332981+07:00,Vinh,93,/dl/web/weather/ic-weather-04d.svg,2.9 km/h,87%
2025-12-01T17:32:32.596088+07:00,Vinh,91,/dl/web/weather/ic-weather-04d.svg,3.1 km/h,88%
2025-12-01T18:24:52.697776+07:00,Vinh,91,/dl/web/weather/ic-weather-04n.svg,2.5 km/h,90%
2025-12-01T19:57:43.242758+07:00,Vinh,94,/dl/web/weather/ic-weather-04n.svg,1.7 km/h,92%
2025-12-01T20:41:22.746949+07:00,Vinh,94,/dl/web/weather/ic-weather-10n.svg,1.1 km/h,92%
2025-12-01T21:29:56.559556+07:00,Vinh,94,/dl/web/weather/ic-weather-04n.svg,1.2 km/h,92%
