city,month,mean_aqi,max_aqi,min_aqi,n_obs
Cần Thơ,2025-01,74.92,138,60,243
Cần Thơ,2025-02,71.98,138,28,663
Cần Thơ,2025-03,71.32,118,52,731
Cần Thơ,2025-04,79.88,162,32,709
Cần Thơ,2025-05,69.05,153,6,741
Cần Thơ,2025-06,47.43,153,0,698
Cần Thơ,2025-07,50.3,94,11,711
Cần Thơ,2025-08,37.51,73,6,138
Huế,2025-01,72.19,138,22,242
Huế,2025-02,50.88,124,26,665
Huế,2025-03,65.14,153,29,731
Huế,2025-04,70.54,137,34,709
Huế,2025-05,50.45,141,28,742
Huế,2025-06,48.98,90,17,694
Huế,2025-07,45.99,63,13,707
Huế,2025-08,47.12,63,12,138
Hà Nội,2025-01,140.5,263,53,254
Hà Nội,2025-02,126.69,247,42,446
Hà Nội,2025-03,133.48,233,49,378
Hà Nội,2025-04,141.28,196,59,709
Hà Nội,2025-05,92.17,190,28,738
Hà Nội,2025-06,80.86,213,17,692
Hà Nội,2025-07,83.23,181,19,714
Hà Nội,2025-08,76.08,175,21,136
Hải Phòng,2025-01,101.26,248,33,242
Hải Phòng,2025-02,113.21,195,31,665
Hải Phòng,2025-03,93.7,173,26,730
Hải Phòng,2025-04,98.21,191,28,711
Hải Phòng,2025-05,62.43,147,17,740
Hải Phòng,2025-06,51.43,129,6,692
Hải Phòng,2025-07,55.83,143,6,712
Hải Phòng,2025-08,53.21,147,11,137
Hồ Chí Minh,2025-01,100.51,220,62,242
Hồ Chí Minh,2025-02,88.48,186,44,445
Hồ Chí Minh,2025-03,87.08,175,38,378
Hồ Chí Minh,2025-04,67.11,165,17,712
Hồ Chí Minh,2025-05,58.53,162,11,740
Hồ Chí Minh,2025-06,64.27,157,17,690
Hồ Chí Minh,2025-07,61.04,127,17,709
Hồ Chí Minh,2025-08,61.22,140,28,138
Nha Trang,2025-01,63.73,74,56,241
Nha Trang,2025-02,53.57,72,9,663
Nha Trang,2025-03,62.85,98,20,729
Nha Trang,2025-04,64.28,87,16,710
Nha Trang,2025-05,61.34,76,13,740
Nha Trang,2025-06,63.68,77,55,696
Nha Trang,2025-07,59.43,69,55,715
Nha Trang,2025-08,65.06,72,58,136
Vinh,2025-01,80.93,127,55,240
Vinh,2025-02,77.72,108,59,666
Vinh,2025-03,89.65,158,59,730
Vinh,2025-04,115.7,191,50,710
Vinh,2025-05,94.58,194,22,741
Vinh,2025-06,55.62,168,0,695
Vinh,2025-07,49.27,139,0,711
Vinh,2025-08,57.9,154,17,138
Đà Nẵng,2025-01,81.68,174,6,244
Đà Nẵng,2025-02,60.69,161,6,446
Đà Nẵng,2025-03,70.55,173,8,378
Đà Nẵng,2025-04,81.86,179,3,712
Đà Nẵng,2025-05,53.56,124,19,741
Đà Nẵng,2025-06,39.09,152,0,695
Đà Nẵng,2025-07,31.41,78,8,711
Đà Nẵng,2025-08,29.98,62,6,137
