timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:22:39.298430+07:00,Đà Nẵng,44,/dl/web/weather/ic-weather-04n.svg,3.5 km/h,89%
2025-10-01T01:33:15.754917+07:00,Đà Nẵng,44,/dl/web/weather/ic-weather-04n.svg,3.3 km/h,89%
2025-10-01T02:19:28.209984+07:00,Đà Nẵng,55,/dl/web/weather/ic-weather-04n.svg,3.4 km/h,90%
2025-10-01T03:27:10.210763+07:00,Đà Nẵng,56,/dl/web/weather/ic-weather-04n.svg,2.5 km/h,93%
2025-10-01T04:21:47.613255+07:00,Đà Nẵng,69,/dl/web/weather/ic-weather-04n.svg,3.1 km/h,93%
2025-10-01T05:22:33.970648+07:00,Đà Nẵng,80,/dl/web/weather/ic-weather-04n.svg,3.2 km/h,94%
2025-10-01T06:21:33.105726+07:00,Đà Nẵng,74,/dl/web/weather/ic-weather-04d.svg,2.8 km/h,94%
2025-10-01T09:03:28.933755+07:00,Đà Nẵng,75,/dl/web/weather/ic-weather-04d.svg,4.1 km/h,83%
2025-10-01T10:44:48.620381+07:00,Đà Nẵng,53,/dl/web/weather/ic-weather-04d.svg,6.7 km/h,71%
2025-10-01T11:29:00.222370+07:00,Đà Nẵng,31,/dl/web/weather/ic-weather-04d.svg,5.7 km/h,73%
2025-10-01T12:24:41.618818+07:00,Đà Nẵng,22,/dl/web/weather/ic-weather-04d.svg,7.2 km/h,63%
2025-10-01T13:37:09.334558+07:00,Đà Nẵng,14,/dl/web/weather/ic-weather-04d.svg,8.7 km/h,68%
2025-10-01T14:24:58.135991+07:00,Đà Nẵng,14,/dl/web/weather/ic-weather-04d.svg,9.3 km/h,71%
2025-10-01T15:33:20.230316+07:00,Đà Nẵng,14,/dl/web/weather/ic-weather-04d.svg,9.3 km/h,71%
2025-10-01T16:27:31.852863+07:00,Đà Nẵng,17,/dl/web/weather/ic-weather-04d.svg,8.1 km/h,75%
2025-10-01T17:26:44.347878+07:00,Đà Nẵng,19,/dl/web/weather/ic-weather-04d.svg,6.6 km/h,79%
2025-10-01T18:21:24.393943+07:00,Đà Nẵng,25,/dl/web/weather/ic-weather-04n.svg,6.6 km/h,80%
2025-10-01T19:53:48.838958+07:00,Đà Nẵng,28,/dl/web/weather/ic-weather-04n.svg,5.8 km/h,84%
2025-10-01T20:34:38.767910+07:00,Đà Nẵng,33,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,83%
2025-10-01T21:26:43.156705+07:00,Đà Nẵng,25,/dl/web/weather/ic-weather-04n.svg,4.5 km/h,84%
2025-10-01T22:25:50.262566+07:00,Đà Nẵng,33,/dl/web/weather/ic-weather-04n.svg,3.3 km/h,87%
2025-10-01T23:31:19.551926+07:00,Đà Nẵng,31,/dl/web/weather/ic-weather-04n.svg,3.9 km/h,89%
2025-10-02T00:22:12.082658+07:00,Đà Nẵng,52,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,89%
2025-10-02T01:35:13.011607+07:00,Đà Nẵng,58,/dl/web/weather/ic-weather-03n.svg,4.0 km/h,86%
2025-10-02T02:19:30.666745+07:00,Đà Nẵng,61,/dl/web/weather/ic-weather-01n.svg,4.1 km/h,94%
2025-10-02T03:27:51.321214+07:00,Đà Nẵng,56,/dl/web/weather/ic-weather-02n.svg,3.6 km/h,89%
2025-10-02T04:21:59.730744+07:00,Đà Nẵng,56,/dl/web/weather/ic-weather-03n.svg,2.7 km/h,89%
2025-10-02T05:22:44.544913+07:00,Đà Nẵng,66,/dl/web/weather/ic-weather-03n.svg,6.0 km/h,93%
2025-10-02T06:21:10.493951+07:00,Đà Nẵng,102,/dl/web/weather/ic-weather-10d.svg,3.4 km/h,93%
2025-10-02T08:50:51.576788+07:00,Đà Nẵng,65,/dl/web/weather/ic-weather-02d.svg,1.9 km/h,88%
2025-10-02T10:01:27.175219+07:00,Đà Nẵng,59,/dl/web/weather/ic-weather-01d.svg,0.6 km/h,72%
2025-10-02T11:28:23.579236+07:00,Đà Nẵng,47,/dl/web/weather/ic-weather-01d.svg,4.9 km/h,60%
2025-10-02T12:23:13.874217+07:00,Đà Nẵng,42,/dl/web/weather/ic-weather-01d.svg,6.1 km/h,59%
2025-10-02T13:35:52.819575+07:00,Đà Nẵng,22,/dl/web/weather/ic-weather-01d.svg,6.6 km/h,65%
2025-10-02T14:22:58.186458+07:00,Đà Nẵng,17,/dl/web/weather/ic-weather-02d.svg,7.3 km/h,66%
2025-10-02T15:31:58.867598+07:00,Đà Nẵng,14,/dl/web/weather/ic-weather-02d.svg,7.7 km/h,64%
2025-10-02T16:25:21.230598+07:00,Đà Nẵng,14,/dl/web/weather/ic-weather-10d.svg,7.1 km/h,67%
2025-10-02T17:25:06.633350+07:00,Đà Nẵng,14,/dl/web/weather/ic-weather-02d.svg,6.0 km/h,71%
2025-10-02T18:19:28.497759+07:00,Đà Nẵng,11,/dl/web/weather/ic-weather-02n.svg,4.7 km/h,72%
2025-10-02T19:49:47.030913+07:00,Đà Nẵng,8,/dl/web/weather/ic-weather-02n.svg,3.2 km/h,75%
2025-10-02T20:31:47.230796+07:00,Đà Nẵng,8,/dl/web/weather/ic-weather-02n.svg,1.7 km/h,80%
2025-10-02T21:24:49.120936+07:00,Đà Nẵng,11,/dl/web/weather/ic-weather-01n.svg,2.4 km/h,80%
2025-10-02T22:25:36.110178+07:00,Đà Nẵng,25,/dl/web/weather/ic-weather-01n.svg,4.8 km/h,79%
2025-10-02T23:30:28.369039+07:00,Đà Nẵng,55,/dl/web/weather/ic-weather-01n.svg,5.1 km/h,84%
2025-10-03T00:19:41.509922+07:00,Đà Nẵng,62,/dl/web/weather/ic-weather-02n.svg,5.1 km/h,84%
2025-10-03T01:34:51.592742+07:00,Đà Nẵng,69,/dl/web/weather/ic-weather-01n.svg,4.6 km/h,88%
2025-10-03T02:18:15.327044+07:00,Đà Nẵng,71,/dl/web/weather/ic-weather-01n.svg,4.5 km/h,92%
2025-10-03T03:27:08.837812+07:00,Đà Nẵng,71,/dl/web/weather/ic-weather-01n.svg,4.9 km/h,89%
2025-10-03T04:21:02.403819+07:00,Đà Nẵng,69,/dl/web/weather/ic-weather-01n.svg,5.1 km/h,93%
2025-10-03T05:22:06.844299+07:00,Đà Nẵng,69,/dl/web/weather/ic-weather-01n.svg,4.6 km/h,93%
2025-10-03T06:21:03.801174+07:00,Đà Nẵng,70,/dl/web/weather/ic-weather-01d.svg,3.8 km/h,93%
2025-10-03T08:50:29.416328+07:00,Đà Nẵng,62,/dl/web/weather/ic-weather-02d.svg,1.2 km/h,75%
2025-10-03T10:01:04.060739+07:00,Đà Nẵng,55,/dl/web/weather/ic-weather-02d.svg,1.3 km/h,68%
2025-10-03T11:28:02.382520+07:00,Đà Nẵng,33,/dl/web/weather/ic-weather-02d.svg,4.8 km/h,71%
2025-10-03T12:23:42.707961+07:00,Đà Nẵng,33,/dl/web/weather/ic-weather-02d.svg,5.2 km/h,71%
2025-10-03T13:35:27.612584+07:00,Đà Nẵng,11,/dl/web/weather/ic-weather-03d.svg,4.6 km/h,71%
2025-10-03T14:23:11.744439+07:00,Đà Nẵng,8,/dl/web/weather/ic-weather-03d.svg,6.0 km/h,70%
2025-10-03T15:31:46.914501+07:00,Đà Nẵng,8,/dl/web/weather/ic-weather-04d.svg,7.6 km/h,70%
2025-10-03T16:24:39.974009+07:00,Đà Nẵng,8,/dl/web/weather/ic-weather-04d.svg,6.6 km/h,74%
2025-10-03T17:25:27.392399+07:00,Đà Nẵng,8,/dl/web/weather/ic-weather-04d.svg,6.0 km/h,74%
2025-10-03T18:20:00.909315+07:00,Đà Nẵng,8,/dl/web/weather/ic-weather-04n.svg,4.7 km/h,78%
2025-10-03T19:49:44.399452+07:00,Đà Nẵng,8,/dl/web/weather/ic-weather-04n.svg,3.6 km/h,77%
2025-10-03T20:30:44.385042+07:00,Đà Nẵng,6,/dl/web/weather/ic-weather-04n.svg,2.5 km/h,75%
2025-10-03T21:23:29.103635+07:00,Đà Nẵng,6,/dl/web/weather/ic-weather-04n.svg,0.3 km/h,76%
2025-10-03T22:24:31.634826+07:00,Đà Nẵng,11,/dl/web/weather/ic-weather-04n.svg,2.1 km/h,79%
2025-10-03T23:29:32.977061+07:00,Đà Nẵng,28,/dl/web/weather/ic-weather-04n.svg,4.6 km/h,88%
2025-10-04T00:20:24.011527+07:00,Đà Nẵng,28,/dl/web/weather/ic-weather-04n.svg,5.2 km/h,89%
2025-10-04T01:34:10.508963+07:00,Đà Nẵng,28,/dl/web/weather/ic-weather-04n.svg,4.7 km/h,89%
2025-10-04T02:18:27.036861+07:00,Đà Nẵng,33,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,92%
2025-10-04T03:26:32.533586+07:00,Đà Nẵng,28,/dl/web/weather/ic-weather-03n.svg,4.9 km/h,89%
2025-10-04T04:20:24.732671+07:00,Đà Nẵng,58,/dl/web/weather/ic-weather-03n.svg,4.5 km/h,93%
2025-10-04T05:21:28.060540+07:00,Đà Nẵng,61,/dl/web/weather/ic-weather-03n.svg,3.0 km/h,93%
2025-10-04T06:20:50.745997+07:00,Đà Nẵng,57,/dl/web/weather/ic-weather-04d.svg,2.7 km/h,91%
2025-10-04T08:46:22.816009+07:00,Đà Nẵng,56,/dl/web/weather/ic-weather-04d.svg,2.7 km/h,79%
2025-10-04T09:55:22.508436+07:00,Đà Nẵng,53,/dl/web/weather/ic-weather-04d.svg,1.3 km/h,74%
2025-10-04T10:29:25.920032+07:00,Đà Nẵng,22,/dl/web/weather/ic-weather-04d.svg,3.8 km/h,70%
2025-10-04T11:27:27.544291+07:00,Đà Nẵng,14,/dl/web/weather/ic-weather-04d.svg,6.1 km/h,69%
2025-10-04T12:22:03.894096+07:00,Đà Nẵng,20,/dl/web/weather/ic-weather-04d.svg,8.1 km/h,70%
2025-10-04T13:32:46.556946+07:00,Đà Nẵng,19,/dl/web/weather/ic-weather-04d.svg,8.7 km/h,74%
2025-10-04T14:20:09.575317+07:00,Đà Nẵng,19,/dl/web/weather/ic-weather-03d.svg,8.7 km/h,71%
2025-10-04T15:28:27.205636+07:00,Đà Nẵng,21,/dl/web/weather/ic-weather-04d.svg,8.1 km/h,78%
2025-10-04T16:21:58.983130+07:00,Đà Nẵng,17,/dl/web/weather/ic-weather-04d.svg,7.3 km/h,79%
2025-10-04T17:23:19.890109+07:00,Đà Nẵng,24,/dl/web/weather/ic-weather-04d.svg,6.1 km/h,79%
2025-10-04T18:17:53.442507+07:00,Đà Nẵng,24,/dl/web/weather/ic-weather-04n.svg,5.6 km/h,81%
2025-10-04T19:44:15.458479+07:00,Đà Nẵng,19,/dl/web/weather/ic-weather-04n.svg,4.5 km/h,82%
2025-10-04T20:25:05.580839+07:00,Đà Nẵng,19,/dl/web/weather/ic-weather-04n.svg,5.1 km/h,79%
2025-10-04T21:19:46.129107+07:00,Đà Nẵng,56,/dl/web/weather/ic-weather-04n.svg,7.0 km/h,84%
2025-10-04T22:21:42.668615+07:00,Đà Nẵng,52,/dl/web/weather/ic-weather-04n.svg,6.6 km/h,90%
2025-10-04T23:27:06.767278+07:00,Đà Nẵng,44,/dl/web/weather/ic-weather-10n.svg,3.9 km/h,89%
2025-10-05T00:18:58.890737+07:00,Đà Nẵng,39,/dl/web/weather/ic-weather-10n.svg,5.3 km/h,92%
2025-10-05T01:31:42.809576+07:00,Đà Nẵng,28,/dl/web/weather/ic-weather-10n.svg,4.1 km/h,92%
2025-10-05T02:17:19.383625+07:00,Đà Nẵng,28,/dl/web/weather/ic-weather-10n.svg,4.1 km/h,93%
2025-10-05T03:24:34.316581+07:00,Đà Nẵng,22,/dl/web/weather/ic-weather-04n.svg,8.6 km/h,88%
2025-10-05T04:19:47.328022+07:00,Đà Nẵng,30,/dl/web/weather/ic-weather-10n.svg,3.8 km/h,87%
2025-10-05T05:20:56.521866+07:00,Đà Nẵng,33,/dl/web/weather/ic-weather-04n.svg,4.6 km/h,88%
2025-10-05T06:21:14.590739+07:00,Đà Nẵng,28,/dl/web/weather/ic-weather-04d.svg,4.3 km/h,88%
2025-10-05T09:01:22.118380+07:00,Đà Nẵng,39,/dl/web/weather/ic-weather-10d.svg,4.6 km/h,77%
2025-10-05T10:37:31.177443+07:00,Đà Nẵng,39,/dl/web/weather/ic-weather-10d.svg,1.7 km/h,62%
2025-10-05T11:26:54.627626+07:00,Đà Nẵng,55,/dl/web/weather/ic-weather-10d.svg,2.0 km/h,56%
2025-10-05T12:22:20.468904+07:00,Đà Nẵng,44,/dl/web/weather/ic-weather-10d.svg,3.4 km/h,56%
2025-10-05T13:33:00.418989+07:00,Đà Nẵng,50,/dl/web/weather/ic-weather-10d.svg,4.3 km/h,57%
2025-10-05T14:20:11.759734+07:00,Đà Nẵng,33,/dl/web/weather/ic-weather-10d.svg,7.0 km/h,64%
2025-10-05T15:28:01.615422+07:00,Đà Nẵng,33,/dl/web/weather/ic-weather-10d.svg,5.8 km/h,69%
2025-10-05T16:21:40.358658+07:00,Đà Nẵng,44,/dl/web/weather/ic-weather-10d.svg,5.1 km/h,79%
2025-10-05T17:23:20.263143+07:00,Đà Nẵng,44,/dl/web/weather/ic-weather-10d.svg,6.7 km/h,83%
2025-10-05T18:17:50.371217+07:00,Đà Nẵng,34,/dl/web/weather/ic-weather-10n.svg,5.7 km/h,83%
2025-10-05T19:45:15.240668+07:00,Đà Nẵng,38,/dl/web/weather/ic-weather-10n.svg,4.5 km/h,84%
2025-10-05T20:25:54.359592+07:00,Đà Nẵng,71,/dl/web/weather/ic-weather-04n.svg,5.7 km/h,88%
2025-10-05T21:19:57.818249+07:00,Đà Nẵng,71,/dl/web/weather/ic-weather-04n.svg,6.1 km/h,88%
2025-10-05T22:21:17.523141+07:00,Đà Nẵng,73,/dl/web/weather/ic-weather-10n.svg,6.1 km/h,76%
2025-10-05T23:27:08.988084+07:00,Đà Nẵng,71,/dl/web/weather/ic-weather-10n.svg,11.0 km/h,82%
2025-10-06T00:19:11.204209+07:00,Đà Nẵng,60,/dl/web/weather/ic-weather-10n.svg,9.3 km/h,77%
2025-10-06T01:31:49.246727+07:00,Đà Nẵng,46,/dl/web/weather/ic-weather-10n.svg,10.1 km/h,78%
2025-10-06T02:17:51.527554+07:00,Đà Nẵng,46,/dl/web/weather/ic-weather-10n.svg,8.5 km/h,71%
2025-10-06T03:24:18.635342+07:00,Đà Nẵng,39,/dl/web/weather/ic-weather-04n.svg,6.8 km/h,70%
2025-10-06T04:20:00.101004+07:00,Đà Nẵng,33,/dl/web/weather/ic-weather-04n.svg,5.9 km/h,75%
2025-10-06T05:21:38.792883+07:00,Đà Nẵng,31,/dl/web/weather/ic-weather-04n.svg,6.5 km/h,67%
